=== Início da Simulação ===
[5000 ns] Estado atual (código): 1
[15000 ns] Estado atual (código): 1
[25000 ns] Estado atual (código): 1
[35000 ns] Estado atual (código): 1
[45000 ns] Estado atual (código): 2
[55000 ns] Estado atual (código): 3
[65000 ns] Estado atual (código): 4
[75000 ns] Estado atual (código): 3
[85000 ns] Estado atual (código): 5
[95000 ns] Estado atual (código): 6
[105000 ns] Estado atual (código): 7
[115000 ns] Estado atual (código): 8
[125000 ns] Estado atual (código): 9
[135000 ns] Estado atual (código): 1
[145000 ns] Estado atual (código): 1
[155000 ns] Estado atual (código): 1
[165000 ns] Estado atual (código): 1
[175000 ns] Estado atual (código): 1
[185000 ns] Estado atual (código): 1
[195000 ns] Estado atual (código): 1
[205000 ns] Estado atual (código): 1
[215000 ns] Estado atual (código): 1
[225000 ns] Estado atual (código): 1
[235000 ns] Estado atual (código): 1

=== Segundo Ciclo: Água já no reservatório ===
[245000 ns] Estado atual (código): 1
[255000 ns] Estado atual (código): 2
[265000 ns] Estado atual (código): 3
[275000 ns] Estado atual (código): 5
[285000 ns] Estado atual (código): 6
[295000 ns] Estado atual (código): 7
[305000 ns] Estado atual (código): 8
[315000 ns] Estado atual (código): 9
[325000 ns] Estado atual (código): 1
[335000 ns] Estado atual (código): 1
[345000 ns] Estado atual (código): 1
[355000 ns] Estado atual (código): 1
[365000 ns] Estado atual (código): 1
[375000 ns] Estado atual (código): 1
[385000 ns] Estado atual (código): 1
[395000 ns] Estado atual (código): 1
[405000 ns] Estado atual (código): 1
[415000 ns] Estado atual (código): 1
[425000 ns] Estado atual (código): 1
[435000 ns] Estado atual (código): 1
[445000 ns] Estado atual (código): 1
=== Fim da Simulação ===
tb.v:59: $finish called at 450000 (1ps)
